<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/20/2021,11:46:00,1410.00,1410.30,1409.05,1409.65,14084,0
HDFCBANK,04/20/2021,11:47:00,1409.50,1409.50,1407.55,1408.75,20434,0
HDFCBANK,04/20/2021,11:48:00,1408.80,1409.35,1408.75,1409.35,25231,0
HDFCBANK,04/20/2021,11:49:00,1409.50,1409.50,1408.10,1408.40,15256,0
HDFCBANK,04/20/2021,11:50:00,1408.40,1409.00,1407.65,1409.00,24597,0
HDFCBANK,04/20/2021,11:51:00,1408.95,1409.20,1407.55,1407.65,19714,0
HDFCBANK,04/20/2021,11:52:00,1407.95,1408.45,1407.10,1408.40,14241,0
HDFCBANK,04/20/2021,11:53:00,1408.35,1408.40,1407.70,1408.25,11254,0
HDFCBANK,04/20/2021,11:54:00,1408.20,1409.00,1408.05,1409.00,13311,0
HDFCBANK,04/20/2021,11:55:00,1408.95,1409.10,1408.50,1408.90,12363,0
HDFCBANK,04/20/2021,11:56:00,1408.85,1409.00,1408.00,1408.40,26512,0
HDFCBANK,04/20/2021,11:57:00,1408.40,1409.35,1407.50,1409.35,13588,0
HDFCBANK,04/20/2021,11:58:00,1409.30,1409.95,1408.95,1409.90,40220,0
HDFCBANK,04/20/2021,11:59:00,1409.95,1410.00,1409.85,1409.90,18029,0
HDFCBANK,04/20/2021,12:00:00,1410.00,1410.95,1409.90,1410.15,22102,0
HDFCBANK,04/20/2021,12:01:00,1410.30,1410.30,1409.75,1409.90,13768,0
HDFCBANK,04/20/2021,12:02:00,1409.90,1410.75,1409.90,1410.55,7772,0
HDFCBANK,04/20/2021,12:03:00,1410.55,1410.70,1410.00,1410.00,13074,0
HDFCBANK,04/20/2021,12:04:00,1410.25,1410.40,1409.80,1410.30,13578,0
HDFCBANK,04/20/2021,12:05:00,1410.35,1410.75,1410.10,1410.60,13534,0
HDFCBANK,04/20/2021,12:06:00,1410.70,1411.00,1410.00,1410.70,27103,0
HDFCBANK,04/20/2021,12:07:00,1410.35,1410.45,1409.80,1409.90,53649,0
HDFCBANK,04/20/2021,12:08:00,1409.95,1410.35,1409.55,1409.95,20110,0
HDFCBANK,04/20/2021,12:09:00,1409.90,1410.45,1409.30,1410.00,22881,0
HDFCBANK,04/20/2021,12:10:00,1409.90,1410.70,1409.80,1410.70,21265,0
HDFCBANK,04/20/2021,12:11:00,1410.70,1410.70,1409.75,1409.95,14885,0
HDFCBANK,04/20/2021,12:12:00,1409.95,1410.00,1409.85,1409.90,11037,0
HDFCBANK,04/20/2021,12:13:00,1409.90,1410.10,1409.80,1410.10,30508,0
HDFCBANK,04/20/2021,12:14:00,1410.10,1410.20,1409.85,1409.90,9272,0
HDFCBANK,04/20/2021,12:15:00,1409.85,1410.00,1409.85,1409.85,15276,0
HDFCBANK,04/20/2021,12:16:00,1409.95,1410.20,1409.90,1409.95,18040,0
HDFCBANK,04/20/2021,12:17:00,1410.00,1410.00,1409.95,1410.00,7724,0
HDFCBANK,04/20/2021,12:18:00,1410.00,1410.00,1405.80,1407.35,73755,0
HDFCBANK,04/20/2021,12:19:00,1407.50,1409.00,1407.35,1408.35,23606,0
HDFCBANK,04/20/2021,12:20:00,1408.50,1408.90,1408.00,1408.65,27669,0
HDFCBANK,04/20/2021,12:21:00,1408.65,1409.90,1407.75,1407.75,26032,0
HDFCBANK,04/20/2021,12:22:00,1407.35,1407.90,1405.20,1405.40,37653,0
HDFCBANK,04/20/2021,12:23:00,1406.00,1406.75,1405.00,1405.65,23677,0
HDFCBANK,04/20/2021,12:24:00,1405.85,1405.85,1404.05,1404.50,37403,0
HDFCBANK,04/20/2021,12:25:00,1403.70,1406.45,1403.00,1406.35,71720,0
HDFCBANK,04/20/2021,12:26:00,1406.30,1407.60,1405.80,1407.35,30880,0
HDFCBANK,04/20/2021,12:27:00,1406.95,1407.75,1406.00,1406.85,27970,0
HDFCBANK,04/20/2021,12:28:00,1406.85,1407.00,1406.55,1406.90,19301,0
HDFCBANK,04/20/2021,12:29:00,1407.05,1407.50,1406.35,1407.50,21950,0
HDFCBANK,04/20/2021,12:30:00,1407.50,1408.95,1406.40,1408.90,21244,0
HDFCBANK,04/20/2021,12:31:00,1408.65,1408.90,1406.95,1407.70,19810,0
HDFCBANK,04/20/2021,12:32:00,1407.70,1408.15,1406.60,1407.95,29542,0
HDFCBANK,04/20/2021,12:33:00,1407.80,1408.15,1407.45,1408.15,15748,0
HDFCBANK,04/20/2021,12:34:00,1408.15,1408.15,1407.00,1407.45,17721,0
HDFCBANK,04/20/2021,12:35:00,1407.30,1407.30,1406.00,1406.45,16237,0
HDFCBANK,04/20/2021,12:36:00,1406.50,1406.50,1405.15,1405.20,18950,0
HDFCBANK,04/20/2021,12:37:00,1405.20,1405.25,1405.00,1405.00,25532,0
