,index,datetime,close,ticker
44824,44824,2021-05-31 03:04:00,3.45,BCP
44825,44825,2021-05-31 03:05:00,3.45,BCP
44826,44826,2021-05-31 03:06:00,3.45,BCP
44827,44827,2021-05-31 03:07:00,3.45,BCP
44828,44828,2021-05-31 03:08:00,3.45,BCP
44829,44829,2021-05-31 03:09:00,3.45,BCP
44830,44830,2021-05-31 03:10:00,3.45,BCP
44831,44831,2021-05-31 03:11:00,3.45,BCP
44832,44832,2021-05-31 03:12:00,3.45,BCP
44833,44833,2021-05-31 03:13:00,3.45,BCP
44834,44834,2021-05-31 03:14:00,3.45,BCP
44835,44835,2021-05-31 03:15:00,3.45,BCP
44836,44836,2021-05-31 03:16:00,3.45,BCP
44837,44837,2021-05-31 03:17:00,3.45,BCP
44838,44838,2021-05-31 03:18:00,3.45,BCP
44839,44839,2021-05-31 03:19:00,3.45,BCP
44840,44840,2021-05-31 03:20:00,3.45,BCP
44841,44841,2021-05-31 03:21:00,3.45,BCP
44842,44842,2021-05-31 03:22:00,3.45,BCP
44843,44843,2021-05-31 03:23:00,3.45,BCP
44844,44844,2021-05-31 03:24:00,3.45,BCP
44845,44845,2021-05-31 03:25:00,3.45,BCP
44846,44846,2021-05-31 03:26:00,3.45,BCP
44847,44847,2021-05-31 03:27:00,3.45,BCP
44848,44848,2021-05-31 03:28:00,3.45,BCP
44849,44849,2021-05-31 03:29:00,3.45,BCP
44850,44850,2021-05-31 03:30:00,3.45,BCP
44851,44851,2021-05-31 03:31:00,3.45,BCP
44852,44852,2021-05-31 03:32:00,3.45,BCP
44853,44853,2021-05-31 03:33:00,3.45,BCP
44854,44854,2021-05-31 03:34:00,3.45,BCP
44855,44855,2021-05-31 03:35:00,3.45,BCP
44856,44856,2021-05-31 03:36:00,3.45,BCP
44857,44857,2021-05-31 03:37:00,3.45,BCP
44858,44858,2021-05-31 03:38:00,3.45,BCP
44859,44859,2021-05-31 03:39:00,3.45,BCP
44860,44860,2021-05-31 03:40:00,3.45,BCP
44861,44861,2021-05-31 03:41:00,3.45,BCP
44862,44862,2021-05-31 03:42:00,3.45,BCP
